sbd,toan,van,ngoaiNgu,vatLy,hoaHoc,sinhHoc,lichSu,diaLy,gdcd,province_name
1000266.0,8.6,9.0,9.4,,,,9.5,8.75,8.75,Hà Nội
1000267.0,7.4,9.25,9.0,,,,9.25,7.75,8.5,Hà Nội
1000268.0,7.4,8.75,8.4,,,,5.0,6.25,7.5,Hà Nội
1000269.0,8.2,8.0,8.6,,,,8.0,8.5,8.5,Hà Nội
1000270.0,5.6,9.0,7.2,,,,8.25,8.0,9.25,Hà Nội
1000271.0,6.0,5.0,,,,,7.0,6.5,,Hà Nội
1000272.0,7.8,8.5,7.6,2.5,7.75,7.75,,,,Hà Nội
1000273.0,7.8,9.0,8.0,,,,7.25,7.25,9.0,Hà Nội
1000274.0,7.6,7.25,8.6,,,,8.5,8.0,9.25,Hà Nội
1000275.0,8.2,9.25,9.2,,,,9.0,8.75,9.25,Hà Nội
1000276.0,7.2,8.0,8.2,,,,6.5,8.0,7.75,Hà Nội
1000277.0,8.0,9.25,8.4,,,,6.75,7.0,8.75,Hà Nội
1000278.0,7.4,9.0,8.0,,,,,,,Hà Nội
1000279.0,8.2,7.5,9.0,7.75,3.75,4.75,,,,Hà Nội
1000280.0,,5.75,,,,,6.25,6.0,,Hà Nội
1000281.0,6.8,8.5,,,,,5.75,6.0,,Hà Nội
1000282.0,6.2,7.75,,,,,6.25,8.0,,Hà Nội
1000283.0,7.6,8.0,9.4,5.5,5.5,7.0,,,,Hà Nội
1000284.0,8.2,7.75,7.0,8.0,9.5,5.25,,,,Hà Nội
1000285.0,8.2,8.0,9.2,,,,9.0,9.25,9.0,Hà Nội
1000286.0,6.0,9.0,7.8,,,,8.5,8.75,9.5,Hà Nội
1000287.0,8.8,7.75,8.0,8.5,5.25,5.5,,,,Hà Nội
1000288.0,9.0,8.25,8.2,6.75,5.5,5.0,,,,Hà Nội
1000289.0,8.8,8.0,7.8,9.0,5.0,8.0,,,,Hà Nội
1000290.0,7.6,8.75,6.2,,,,6.5,6.0,8.5,Hà Nội
1000291.0,8.4,8.75,9.4,,,,9.0,9.0,9.25,Hà Nội
1000292.0,6.6,8.25,8.6,6.5,6.25,5.75,,,,Hà Nội
1000293.0,6.8,8.5,6.8,,,,9.75,9.25,8.5,Hà Nội
1000294.0,3.6,7.25,,,,,5.75,5.75,,Hà Nội
1000295.0,8.4,7.5,9.2,8.25,6.25,6.25,,,,Hà Nội
1000296.0,8.0,8.5,8.4,7.75,5.25,5.5,,,,Hà Nội
1000297.0,7.8,8.5,7.2,,,,7.5,7.25,8.5,Hà Nội
1000298.0,8.0,8.5,9.6,,,,9.5,9.5,9.75,Hà Nội
1000299.0,8.6,9.0,8.6,7.5,6.25,5.25,,,,Hà Nội
1000300.0,6.2,7.5,8.8,,,,6.5,7.25,7.25,Hà Nội
1000301.0,7.8,8.75,7.0,,,,6.75,8.0,8.0,Hà Nội
1000302.0,8.2,8.0,8.4,,,,7.0,8.0,8.5,Hà Nội
1000303.0,6.0,8.5,7.0,,,,4.75,7.0,7.5,Hà Nội
1000304.0,8.8,9.0,10.0,,,,9.75,9.25,9.25,Hà Nội
1000305.0,7.8,9.0,7.8,5.25,9.0,6.25,,,,Hà Nội
1000306.0,7.8,7.0,8.0,7.75,4.25,6.0,,,,Hà Nội
1000307.0,2.2,3.5,,,,,3.75,4.5,,Hà Nội
1000308.0,5.4,7.5,3.6,,,,7.0,8.75,9.0,Hà Nội
1000309.0,7.6,8.25,7.8,7.0,4.75,5.75,,,,Hà Nội
1000310.0,7.6,7.75,,6.0,6.5,7.25,,,,Hà Nội
1000311.0,6.6,9.0,8.2,,,,8.0,8.25,8.75,Hà Nội
1000312.0,5.4,8.25,,,,,7.0,7.75,,Hà Nội
1000313.0,7.0,9.0,7.4,,,,7.25,7.5,8.5,Hà Nội
1000314.0,8.0,8.0,7.4,8.75,7.75,6.25,,,,Hà Nội
1000315.0,7.8,9.25,8.0,,,,8.25,7.5,8.5,Hà Nội
1000316.0,7.2,9.25,7.6,,,,8.75,8.5,7.5,Hà Nội
1000317.0,,6.25,,,,,8.5,9.25,,Hà Nội
1000318.0,8.8,8.5,,,,,7.75,7.75,7.75,Hà Nội
1000319.0,8.8,7.0,6.6,6.5,7.75,4.75,,,,Hà Nội
1000320.0,8.0,6.0,8.2,4.75,8.0,8.25,,,,Hà Nội
1000321.0,6.6,8.0,6.0,,,,8.0,6.0,8.0,Hà Nội
1000322.0,7.6,7.75,8.0,,,,7.0,7.5,7.25,Hà Nội
1000323.0,8.0,7.25,6.6,5.0,9.5,8.25,,,,Hà Nội
1000324.0,3.2,5.75,,,,,5.25,5.5,,Hà Nội
